Date,High,Low,Open,Close,Amount,Count,Vol
2024-05-12 16:00:00,60837.64,60804.69,60822.44,60834.89,0.8421679018692081,65,51224.94110419
2024-05-12 16:01:00,60931.04,60834.9,60834.9,60917.04,2.74907,122,167424.92213471
2024-05-12 16:02:00,60919.88,60900.18,60912.07,60914.74,0.305586,20,18612.66650519
2024-05-12 16:03:00,60933.15,60923.37,60933.15,60933.15,0.129052,16,7862.96560411
2024-05-12 16:04:00,60938.77,60909.23,60938.1,60909.23,0.131944,9,8038.68268146
2024-05-12 16:05:00,60912.09,60883.38,60909.22,60912.09,0.3960879999881795,26,24119.79467532
2024-05-12 16:06:00,60945.36,60912.09,60912.09,60939.77,0.111116,10,6771.53684935
2024-05-12 16:07:00,60936.46,60919.1,60936.46,60928.31,0.520741,24,31726.13456082
2024-05-12 16:08:00,60906.58,60906.57,60906.58,60906.57,0.009015,4,549.07275493
2024-05-12 16:09:00,60891.56,60878.84,60888.5,60888.82,0.062071143305125635,13,3779.39749913
2024-05-12 16:10:00,60893.68,60864.67,60893.68,60864.67,0.10542902423792619,14,6418.77570896
2024-05-12 16:11:00,60869.86,60862.94,60864.67,60866.52,0.44718,21,27218.21509174
2024-05-12 16:12:00,60869.46,60862.83,60866.54,60869.46,0.008867303894511642,7,539.7380581799999
2024-05-12 16:13:00,60863.31,60860.81,60863.31,60860.81,0.249806,6,15203.5057164
2024-05-12 16:14:00,60851.17,60851.17,60851.17,60851.17,0.008756,2,532.81284452
2024-05-12 16:15:00,60860.0,60851.16,60851.16,60860.0,0.08371557181674215,11,5094.62141814
2024-05-12 16:16:00,60862.5,60859.99,60862.5,60859.99,0.241748,13,14713.28286252
2024-05-12 16:17:00,60860.0,60799.94,60860.0,60803.49,0.5420638393532465,40,32974.99981487
2024-05-12 16:18:00,60826.54,60787.97,60803.49,60790.68,1.787737,70,108687.50055473
2024-05-12 16:19:00,60847.07,60800.85,60800.85,60839.45,0.491439,22,29896.9413395
